SCHOOL_KEY,NETWORK,GOVERNANCE,ANNUAL_REGIONAL_ANALYSIS_REGION,COMMUNITY,REGION_ENCODED
1456,Network 2,District,North Lakefront,EDGEWATER,3
1457,Network 6,District,Greater Milwaukee Avenue,WEST TOWN,13
1458,Network 13,District,Greater Calumet,EAST SIDE,8
1459,Network 13,District,Greater Calumet,WEST PULLMAN,8
1460,Network 12,District,Greater Stony Island,SOUTH CHICAGO,7
1461,ISP,District,Far Northwest Side,DUNNING,5
1462,Network 5,District,West Side,WEST GARFIELD PARK,2
1463,Network 8,District,Greater Midway,GAGE PARK,9
1465,Network 10,District,Greater Midway,GARFIELD RIDGE,9
1466,Network 10,District,Far Southwest Side,BEVERLY,0
1467,Network 13,District,Greater Calumet,ROSELAND,8
1468,Network 1,District,Northwest Side,ALBANY PARK,4
1470,Network 1,District,Northwest Side,ALBANY PARK,4
1471,Network 9,District,Bronzeville / South Lakefront,WOODLAWN,6
1472,Network 7,District,Pilsen / Little Village,SOUTH LAWNDALE,11
1473,Network 7,District,Pilsen / Little Village,LOWER WEST SIDE,11
1474,Network 6,District,Greater Stockyards,ARMOUR SQUARE,10
1475,Network 12,District,Greater Stony Island,CALUMET HEIGHTS,7
1476,Network 13,District,Greater Calumet,EAST SIDE,8
1477,Network 2,District,Northwest Side,LINCOLN SQUARE,4
1478,Network 5,District,West Side,WEST GARFIELD PARK,2
1479,Network 11,District,South Side,WEST ENGLEWOOD,1
1481,Network 13,District,Greater Calumet,WEST PULLMAN,8
1482,Network 8,District,Greater Midway,GAGE PARK,9
1483,Network 7,District,Pilsen / Little Village,SOUTH LAWNDALE,11
1484,Network 7,District,Pilsen / Little Village,LOWER WEST SIDE,11
1485,Network 6,District,Greater Milwaukee Avenue,WEST TOWN,13
1486,Network 1,District,Far Northwest Side,FOREST GLEN,5
1487,Network 6,District,Central Area,NEAR SOUTH SIDE,0
1490,Network 5,District,Greater Milwaukee Avenue,LOGAN SQUARE,13
1491,Network 3,District,West Side,AUSTIN,2
1493,Network 9,District,Bronzeville / South Lakefront,GRAND BOULEVARD,6
1494,Network 11,District,South Side,ENGLEWOOD,1
1495,Network 8,District,South Side,NEW CITY,1
1498,Network 2,District,North Lakefront,UPTOWN,3
1500,ISP,District,West Side,AUSTIN,2
1501,Network 15,District,West Side,AUSTIN,2
1502,Network 9,District,Bronzeville / South Lakefront,WASHINGTON PARK,6
1503,Network 1,District,Far Northwest Side,DUNNING,5
1504,Network 8,District,Greater Midway,GAGE PARK,9
1505,ISP,District,Central Area,NEAR NORTH SIDE,0
1506,Network 5,District,West Side,EAST GARFIELD PARK,2
1507,Network 6,District,Near West Side,NEAR WEST SIDE,12
1509,Network 7,District,West Side,NORTH LAWNDALE,2
1511,Network 9,District,Bronzeville / South Lakefront,OAKLAND,6
1512,Network 5,District,West Side,HUMBOLDT PARK,2
